id_deputado,nome_deputado,partido,uf,total_sessoes,presencas_reais,score_engajamento
141391,Arnaldo Jardim,CIDADANIA,SP,3,0,0
204525,Rosana Valle,PL,SP,3,0,0
220528,Dr. Victor Linhalis,PODE,ES,3,0,0
160548,Jonas Donizette,PSB,SP,3,0,0
141485,Luiz Carlos Busato,UNIÃO,RS,3,0,0
160552,Danrlei de Deus Hinterholz,PSD,RS,3,0,0
220674,Dra. Alessandra Haber,PODE,PA,3,0,0
220591,Meire Serafim,UNIÃO,AC,3,0,0
204524,Pinheirinho,PP,MG,3,0,0
74159,Odair Cunha,PT,MG,3,0,0
74784,Luiza Erundina,PSOL,SP,3,0,0
178866,Luizianne Lins,REDE,CE,3,0,0
220624,Robinson Faria,PP,RN,3,0,0
141421,Eduardo da Fonte,PP,PE,3,0,0
204404,Lucas Redecker,PSD,RS,3,0,0
220558,Zé Trovão,PL,SC,3,0,0
178895,Misael Varella,PSD,MG,3,0,0
204364,Eli Borges,REPUBLICANOS,TO,3,0,0
205550,Jorge Braz,REPUBLICANOS,RJ,3,0,0
220616,Luciano Vieira,PSDB,RJ,3,0,0
160545,Alexandre Leite,UNIÃO,SP,3,0,0
220714,Adail Filho,MDB,AM,3,0,0
204425,Silvio Costa Filho,REPUBLICANOS,PE,3,0,0
178896,Newton Cardoso Jr,MDB,MG,3,0,0
220597,Thiago Flores,UNIÃO,RO,3,0,0
178970,João Daniel,PT,SE,3,0,0
220692,Dal Barreto,UNIÃO,BA,3,0,0
221329,Ricardo Abrão,PSDB,RJ,3,0,0
154178,Milton Vieira,REPUBLICANOS,SP,3,0,0
178832,Leandre,PSD,PR,3,0,0
160666,Félix Mendonça Júnior,PDT,BA,3,0,0
220682,Tadeu Veneri,PT,PR,3,0,0
160569,Waldenor Pereira,PT,BA,3,0,0
162067,Kiko Celeguim,PT,SP,3,0,0
178931,Luciano Ducci,PSB,PR,3,0,0
178871,Evair Vieira de Melo,PP,ES,3,0,0
161440,Pezenti,MDB,SC,3,0,0
69871,Bacelar,PV,BA,3,0,0
74273,Jefferson Campos,PL,SP,3,0,0
220712,Fausto Jr.,UNIÃO,AM,3,0,0
220576,Alfredo Gaspar,UNIÃO,AL,3,0,0
204456,Gutemberg Reis,MDB,RJ,3,0,0
230768,Zé Adriano,PP,AC,3,0,0
204431,Marcos Aurélio Sampaio,MDB,PI,3,0,0
220661,Matheus Noronha,PL,CE,3,0,0
230765,Enfermeira Rejane,PCdoB,RJ,3,0,0
92699,Fernando Monteiro,PSD,PE,3,0,0
160561,Missionário José Olimpio,PL,SP,3,0,0
73433,Arlindo Chinaglia,PT,SP,3,0,0
215043,Josivaldo JP,PSD,MA,3,0,0
233592,Paulo Lemos,PT,AP,3,0,0
220708,Gabriel Nunes,PSD,BA,3,0,0
178860,Paulo Azi,UNIÃO,BA,3,0,0
178905,Fabio Garcia,UNIÃO,MT,3,0,0
160641,Professora Marcivania,PCdoB,AP,3,0,0
